kz_rus_symb_lang	probability
ru	0.867759644985199
ru	0.5679022669792175
tt	0.4709782302379608
ky	0.9879176020622253
kk	0.8478394150733948
tt	0.5699170231819153
ru	0.6444811820983887
sr	0.9208284020423889
ru	0.407098650932312
kk	0.29866933822631836
ky	0.4365408420562744
ky	0.40398508310317993
kk	0.5639088153839111
kk	0.846789538860321
kk	0.846789538860321
ky	0.9013966917991638
ky	0.2852247357368469
ky	0.2852247357368469
ru	0.4933178722858429
ky	0.9465433359146118
ru	0.731562077999115
kk	0.5500054955482483
ky	0.44473668932914734
ky	0.40172961354255676
kk	0.49370014667510986
ba	0.643962025642395
tt	0.5310027599334717
tt	0.5320816040039062
kk	0.4451283812522888
kk	0.599325954914093
ky	0.5118655562400818
kk	0.8582732081413269
ky	0.6881585717201233
kk	0.8282176852226257
kk	0.44016459584236145
kk	0.7300366163253784
kk	0.44787847995758057
kk	0.6704291105270386
kk	0.7451122999191284
kk	0.514413058757782
ky	0.9030059576034546
ky	0.42605310678482056
kk	0.5314836502075195
ru	0.8349397778511047
ru	0.7350968718528748
ru	0.5525720715522766
ru	0.4238409996032715
ky	0.7720934748649597
bg	0.30047816038131714
ky	0.8284122943878174
ru	0.8025363087654114
kk	0.5864277482032776
ru	0.5531924366950989
ky	0.9555132985115051
tt	0.4872991740703583
mn	0.3105566203594208
mk	0.48921412229537964
ru	0.6007669568061829
ky	0.7868834137916565
ky	0.9267888069152832
mn	0.2916547954082489
mn	0.3205550014972687
ru	0.47031617164611816
ky	0.9878174662590027
ru	0.39176705479621887
tt	0.31541305780410767
tt	0.6242656111717224
sr	0.2784540057182312
ky	0.9690610766410828
ru	0.657200813293457
tt	0.8049160838127136
tt	0.6863356828689575
tt	0.7182731628417969
tt	0.6722090840339661
kk	0.7319479584693909
ky	0.8503158092498779
ky	0.6886955499649048
ky	0.9559902548789978
ky	0.9561951756477356
mhr	0.3052368760108948
ky	0.4881439507007599
kk	0.7744256854057312
bg	0.7075093984603882
bg	0.7075093984603882
kk	0.3660387396812439
ru	0.7304148077964783
ky	0.7212984561920166
ky	0.4901769161224365
ky	0.3428492248058319
ru	0.3556613028049469
kk	0.42114442586898804
ky	0.8685283660888672
ky	0.9429658651351929
ky	0.9278781414031982
ky	0.2878524959087372
ru	0.4564649760723114
ky	0.7046855092048645
ky	0.5951622724533081
ky	0.9763380885124207
kk	0.8620575070381165
ky	0.8282686471939087
kk	0.4191129207611084
ru	0.5160315036773682
tt	0.2967280149459839
ky	0.833279550075531
ky	0.7427789568901062
ky	0.9080479145050049
kk	0.7484087944030762
ky	0.5834017395973206
ky	0.9399563074111938
ru	0.47257912158966064
ky	0.7359211444854736
ky	0.767615556716919
ky	0.9413776993751526
ky	0.7849928140640259
kk	0.5368675589561462
ky	0.8201652765274048
kk	0.5817282199859619
ky	0.7744417786598206
ky	0.8751207590103149
ky	0.7438483238220215
ru	0.6267337203025818
ru	0.7352554798126221
ky	0.9749191403388977
ky	0.7531265020370483
ky	0.6678276658058167
ky	0.3374860882759094
tt	0.43112725019454956
kk	0.6027981638908386
ky	0.8531398773193359
ky	0.7743822932243347
ky	0.7105571627616882
kk	0.8048880696296692
ky	0.4672517776489258
ky	0.9435726404190063
ru	0.6570233702659607
ky	0.8115091919898987
ru	0.8388174772262573
ru	0.8887503147125244
ru	0.42125362157821655
ky	0.689873993396759
ky	0.4781462550163269
ru	0.7251105904579163
ky	0.7761109471321106
ky	0.5150947570800781
ky	0.6074342727661133
ky	0.9350113272666931
kk	0.5792537927627563
ky	0.5210300087928772
ky	0.9961294531822205
kk	0.4817677438259125
ky	0.9313964247703552
ky	0.9594278931617737
ky	0.8280925154685974
ky	0.6140841245651245
uk	0.42081210017204285
ky	0.8662025332450867
kk	0.43929538130760193
kk	0.9245680570602417
kk	0.7376875281333923
ky	0.5534926056861877
ky	0.9042243957519531
tt	0.48105016350746155
kk	0.4412890672683716
ru	0.3174920976161957
ky	0.9889697432518005
kk	0.5635550022125244
ky	0.9256271123886108
ky	0.5221719741821289
ky	0.7115400433540344
ky	0.7962251305580139
ky	0.8658115267753601
ky	0.6647900938987732
ky	0.6391580700874329
ky	0.9286609292030334
kk	0.48691409826278687
ky	0.9365198612213135
ky	0.545500636100769
ky	0.5383299589157104
ky	0.6410081386566162
kk	0.33356356620788574
ky	0.7914243340492249
ky	0.9614564776420593
ky	0.601435124874115
ky	0.6318472027778625
ky	0.34918567538261414
ky	0.5723275542259216
ky	0.3806687295436859
ky	0.4314461648464203
ky	0.8413512110710144
ky	0.5206161737442017
ky	0.3579952120780945
kk	0.5423290729522705
ky	0.44210052490234375
ky	0.38582882285118103
ru	0.5912145376205444
ru	0.7697932720184326
ky	0.5524479150772095
ky	0.4701486825942993
ru	0.35604414343833923
ky	0.6180049777030945
ky	0.813808262348175
ky	0.7795562744140625
ru	0.4368026852607727
ky	0.7626315951347351
ky	0.9169561862945557
kk	0.49312663078308105
ky	0.6078557968139648
ky	0.5683683753013611
ky	0.9850613474845886
ky	0.814642071723938
ky	0.7688089609146118
tt	0.3540556728839874
kk	0.3716692626476288
ba	0.31282293796539307
ky	0.5498430132865906
ky	0.943987250328064
ky	0.4880305528640747
ky	0.25627532601356506
ky	0.971646249294281
ru	0.5368673205375671
ky	0.993730366230011
tt	0.40033963322639465
bg	0.42312294244766235
ky	0.7920957207679749
ru	0.8134577870368958
ky	0.4818620979785919
be	0.48727235198020935
tt	0.8680816292762756
ky	0.61859530210495
ky	0.47435685992240906
ky	0.8026919364929199
kk	0.5895295739173889
tt	0.23362812399864197
ky	0.7964068055152893
ky	0.8651208877563477
ky	0.8347384333610535
tt	0.35891273617744446
kk	0.8709072470664978
ru	0.5117462277412415
ky	0.38592228293418884
ky	0.7030618190765381
ky	0.9230124354362488
ky	0.6135144829750061
ky	0.8878686428070068
kk	0.5865346193313599
bg	0.2100590616464615
ba	0.3619835376739502
ba	0.3619835376739502
ky	0.7027962803840637
ky	0.9501592516899109
kk	0.9566101431846619
ru	0.793082058429718
ky	0.8748075366020203
kk	0.7994905114173889
kk	0.7994905114173889
ky	0.9009356498718262
ky	0.740081250667572
ky	0.49012231826782227
ky	0.9634740352630615
ky	0.6115680932998657
ky	0.5736322402954102
ky	0.704286515712738
kk	0.9931772351264954
ky	0.7806704044342041
ky	0.8352908492088318
kk	0.7027599215507507
ky	0.4299852252006531
ru	0.23319607973098755
ky	0.9397839307785034
ky	0.7242984175682068
ru	0.3613124191761017
ky	0.5611421465873718
ky	0.6884461641311646
ky	0.6527661085128784
ru	0.5260784029960632
ky	0.7948505282402039
ky	0.7600252032279968
kk	0.6648576855659485
ky	0.3784692883491516
ru	0.45233622193336487
ky	0.39430713653564453
kk	0.4973973333835602
kk	0.4973973333835602
kk	0.9717301726341248
ky	0.87369304895401
ky	0.6378820538520813
ky	0.33665046095848083
ky	0.8393922448158264
mk	0.27293360233306885
ky	0.9199491739273071
ru	0.6469995379447937
ky	0.9443662762641907
ru	0.6014636158943176
kk	0.8814582824707031
tt	0.5917055010795593
ky	0.7893574833869934
ru	0.551102340221405
ru	0.4584365487098694
ru	0.6361268162727356
ky	0.8817139267921448
ru	0.6994720697402954
ky	0.6045466661453247
ky	0.4503203332424164
ky	0.644636332988739
ky	0.4643182158470154
ky	0.701193630695343
ky	0.8831918239593506
ky	0.5532312989234924
ky	0.5100578665733337
ky	0.855539083480835
ky	0.9183149933815002
kk	0.825068473815918
ky	0.8365696668624878
ky	0.8670781850814819
ky	0.6601197123527527
ky	0.7654940485954285
ky	0.8762722015380859
ky	0.6736454367637634
ky	0.4829281270503998
ky	0.7468010187149048
ky	0.9369170069694519
tt	0.5077757835388184
ru	0.47152820229530334
ky	0.46775445342063904
ky	0.891180694103241
