blr_lang	probability
be	0.9997048377990723
be	0.9977099299430847
be	0.99892657995224
be	0.9999317526817322
ru	0.603512704372406
be	0.7295836210250854
be	0.7295836210250854
ru	0.7440260052680969
be	0.9737712740898132
be	0.9999332427978516
be	0.9999355673789978
be	0.9683361053466797
be	0.9703553915023804
be	0.98792564868927
be	0.9206846952438354
be	0.9679129719734192
be	0.9815057516098022
be	0.996934711933136
be	0.9968485832214355
be	0.9927790760993958
be	0.9997595548629761
ru	0.9852945804595947
be	1.0000497102737427
be	0.9999291896820068
be	0.9997928142547607
be	0.9395275712013245
be	0.994779646396637
be	0.9991969466209412
be	0.5149054527282715
be	0.5539618730545044
be	0.4527050256729126
be	0.893306314945221
ru	0.9093824028968811
be	0.9961987733840942
be	0.7336217164993286
be	1.000055193901062
be	0.9996706247329712
be	0.9810858368873596
be	0.6800944805145264
be	0.9985666275024414
be	0.9941263794898987
be	0.9956283569335938
be	0.9922339916229248
be	0.9536587595939636
be	0.776007890701294
be	0.8612306714057922
be	1.0000500679016113
be	0.9652298092842102
be	0.996961236000061
be	0.9935693144798279
be	0.9928844571113586
be	0.9974793791770935
be	0.5482461452484131
be	0.9866947531700134
be	0.9988242983818054
mk	0.40915852785110474
ru	0.9616019129753113
be	0.9837175011634827
be	0.9273415207862854
be	0.9992696642875671
be	0.9992696642875671
be	0.9970898628234863
ru	0.9622525572776794
be	0.9998223185539246
be	0.9505873918533325
be	0.9966710805892944
ru	0.4906170964241028
be	0.9236756563186646
be	0.9995885491371155
be	0.9989476799964905
uk	0.8505285382270813
be	0.9904747605323792
ru	0.7655562162399292
be	0.722034215927124
ru	0.4891974925994873
be	0.9718184471130371
be	0.8548479676246643
be	0.989115297794342
be	0.9974474906921387
be	0.6108313202857971
be	0.9206351637840271
be	0.7766345739364624
bg	0.9052953124046326
be	0.5656797885894775
be	0.9994102120399475
be	0.990262508392334
be	0.9996283054351807
ru	0.8109945058822632
be	0.9857345819473267
be	0.6624475717544556
be	0.9964643716812134
be	0.9986109137535095
